system:index,pm25,pm_predicted,station,system:time_start,.geo
1_00000000000000001c45,3.5915,4.48734325,Flathead Valley,1529085600000,"{""type"":""Point"",""coordinates"":[-114.189259,48.363709]}"
1_00000000000000001c4d,0.857,,Libby,1529085600000,"{""type"":""Point"",""coordinates"":[-115.55228,48.39167200000001]}"
1_00000000000000001c49,2.041,3.412389083333334,Thompson Falls,1529085600000,"{""type"":""Point"",""coordinates"":[-115.32371700000002,47.594403]}"
1_00000000000000001c3d,3.4395,,Great Falls,1529085600000,"{""type"":""Point"",""coordinates"":[-111.30334500000001,47.494318]}"
1_00000000000000001c37,2.6304999999999996,,Helena,1529085600000,"{""type"":""Point"",""coordinates"":[-112.013089,46.658761999999996]}"
1_00000000000000001c3b,22.5675,,Broadus,1529085600000,"{""type"":""Point"",""coordinates"":[-105.370283,45.44029500000001]}"
1_00000000000000001c40,2.7794999999999996,2.811812666666666,NCore,1529085600000,"{""type"":""Point"",""coordinates"":[-111.987164,46.85049999999999]}"
1_00000000000000001c34,0.466,,Hamilton,1529085600000,"{""type"":""Point"",""coordinates"":[-114.158889,46.243621]}"
1_00000000000000001c4e,2.798,,Malta,1529085600000,"{""type"":""Point"",""coordinates"":[-107.862232,48.317521]}"
1_00000000000000001c4b,1.8135,,Sidney,1529085600000,"{""type"":""Point"",""coordinates"":[-104.676998,47.867989]}"
1_00000000000000001c43,5.6915,,Bozeman,1529085600000,"{""type"":""Point"",""coordinates"":[-111.05632700000001,45.683774]}"
1_00000000000000001c39,8.251,,Billings Lockwood,1529085600000,"{""type"":""Point"",""coordinates"":[-108.42600500000002,45.806325]}"
1_00000000000000001c47,2.9875,,Missoula,1529085600000,"{""type"":""Point"",""coordinates"":[-114.020582,46.842301]}"
1_00000000000000001c41,3.504,,West Yellowstone,1529085600000,"{""type"":""Point"",""coordinates"":[-111.089618,44.657014]}"
1_00000000000000001c35,4.294499999999999,,Lewistown,1529085600000,"{""type"":""Point"",""coordinates"":[-109.45535300000002,47.04852300000001]}"
1_00000000000000001c3f,6.322,6.163441749999999,Frenchtown,1529085600000,"{""type"":""Point"",""coordinates"":[-114.22427300000001,47.012907]}"
1_00000000000000001c46,0.22649999999999998,,Butte,1529085600000,"{""type"":""Point"",""coordinates"":[-112.501247,46.00260200000001]}"
